# Mapeo FW NDS32 (633 funcs) -> modulo .c + lineas ASSERT

========== (sin ASSERT) (441 funcs) ==========
  0xf003e608  FUN_ram_f003e608        
  0xf003e614  FUN_ram_f003e614        
  0xf003e618  FUN_ram_f003e618        
  0xf003e6f8  FUN_ram_f003e6f8        
  0xf003eeb0  FUN_ram_f003eeb0        
  0xf003ef14  FUN_ram_f003ef14        
  0xf003ef48  FUN_ram_f003ef48        
  0xf003efac  FUN_ram_f003efac        
  0xf003f058  FUN_ram_f003f058        
  0xf003f094  FUN_ram_f003f094        
  0xf003f140  FUN_ram_f003f140        
  0xf003f3d0  FUN_ram_f003f3d0        
  0xf003f498  FUN_ram_f003f498        
  0xf003f6a4  FUN_ram_f003f6a4        
  0xf003f8b0  FUN_ram_f003f8b0        
  0xf003fa48  FUN_ram_f003fa48        
  0xf003fb50  FUN_ram_f003fb50        
  0xf003fddc  FUN_ram_f003fddc        
  0xf003ff24  FUN_ram_f003ff24        
  0xf0040174  FUN_ram_f0040174        
  0xf00401e4  FUN_ram_f00401e4        
  0xf004052c  FUN_ram_f004052c        
  0xf0040780  FUN_ram_f0040780        
  0xf0040d3c  FUN_ram_f0040d3c        
  0xf0040e14  FUN_ram_f0040e14        
  0xf0040e78  FUN_ram_f0040e78        
  0xf0040ecc  FUN_ram_f0040ecc        
  0xf0040f4c  FUN_ram_f0040f4c        
  0xf00410f4  FUN_ram_f00410f4        
  0xf004113c  FUN_ram_f004113c        
  0xf0041210  FUN_ram_f0041210        
  0xf00412b0  FUN_ram_f00412b0        
  0xf00412dc  FUN_ram_f00412dc        
  0xf00413b4  FUN_ram_f00413b4        
  0xf00415b0  FUN_ram_f00415b0        
  0xf00415d0  FUN_ram_f00415d0        
  0xf00416b0  FUN_ram_f00416b0        
  0xf0041724  FUN_ram_f0041724        
  0xf0041768  FUN_ram_f0041768        
  0xf0041c18  FUN_ram_f0041c18        
  0xf0041cbc  FUN_ram_f0041cbc        
  0xf0041d34  FUN_ram_f0041d34        
  0xf004201c  FUN_ram_f004201c        
  0xf00420e8  FUN_ram_f00420e8        
  0xf00421d0  FUN_ram_f00421d0        
  0xf0042254  FUN_ram_f0042254        
  0xf0042264  FUN_ram_f0042264        
  0xf00422bc  FUN_ram_f00422bc        
  0xf0042344  FUN_ram_f0042344        
  0xf00424d0  FUN_ram_f00424d0        
  0xf0042688  FUN_ram_f0042688        
  0xf00427c0  FUN_ram_f00427c0        
  0xf0042810  FUN_ram_f0042810        
  0xf00428ac  FUN_ram_f00428ac        
  0xf0042998  FUN_ram_f0042998        
  0xf0042a24  FUN_ram_f0042a24        
  0xf0042b1c  FUN_ram_f0042b1c        
  0xf0042bcc  FUN_ram_f0042bcc        
  0xf0042c48  FUN_ram_f0042c48        
  0xf0042d0c  FUN_ram_f0042d0c        
  0xf0042eb8  FUN_ram_f0042eb8        
  0xf0042f70  FUN_ram_f0042f70        
  0xf0042f80  FUN_ram_f0042f80        
  0xf0042ff4  FUN_ram_f0042ff4        
  0xf00430c8  FUN_ram_f00430c8        
  0xf004322c  FUN_ram_f004322c        
  0xf0043270  FUN_ram_f0043270        
  0xf00432dc  FUN_ram_f00432dc        
  0xf0043ed0  FUN_ram_f0043ed0        
  0xf0043ee4  FUN_ram_f0043ee4        
  0xf0043fac  FUN_ram_f0043fac        
  0xf0044008  FUN_ram_f0044008        
  0xf0044048  FUN_ram_f0044048        
  0xf0044204  FUN_ram_f0044204        
  0xf0044344  FUN_ram_f0044344        
  0xf0044404  FUN_ram_f0044404        
  0xf0044768  FUN_ram_f0044768        
  0xf0044898  FUN_ram_f0044898        
  0xf0044c94  FUN_ram_f0044c94        
  0xf0044d2c  FUN_ram_f0044d2c        
  0xf0044d48  FUN_ram_f0044d48        
  0xf0044d9c  FUN_ram_f0044d9c        
  0xf0044e24  FUN_ram_f0044e24        
  0xf0045348  FUN_ram_f0045348        
  0xf0045380  FUN_ram_f0045380        
  0xf0045c9c  FUN_ram_f0045c9c        
  0xf0045ce4  FUN_ram_f0045ce4        
  0xf0045d70  FUN_ram_f0045d70        
  0xf0045e34  FUN_ram_f0045e34        
  0xf00462c4  FUN_ram_f00462c4        
  0xf0046300  FUN_ram_f0046300        
  0xf00465cc  FUN_ram_f00465cc        
  0xf0046744  FUN_ram_f0046744        
  0xf0046800  FUN_ram_f0046800        
  0xf0046978  FUN_ram_f0046978        
  0xf0046990  FUN_ram_f0046990        
  0xf00469d8  FUN_ram_f00469d8        
  0xf00469dc  FUN_ram_f00469dc        
  0xf00469e0  FUN_ram_f00469e0        
  0xf0046aa0  FUN_ram_f0046aa0        
  0xf0046ad8  FUN_ram_f0046ad8        
  0xf0046c10  FUN_ram_f0046c10        
  0xf0046c44  FUN_ram_f0046c44        
  0xf0046d0c  FUN_ram_f0046d0c        
  0xf0047000  FUN_ram_f0047000        
  0xf0047138  FUN_ram_f0047138        
  0xf0047248  FUN_ram_f0047248        
  0xf0047db8  FUN_ram_f0047db8        
  0xf004844c  FUN_ram_f004844c        
  0xf00484bc  FUN_ram_f00484bc        
  0xf00484ec  FUN_ram_f00484ec        
  0xf0048840  FUN_ram_f0048840        
  0xf00488dc  FUN_ram_f00488dc        
  0xf0048914  FUN_ram_f0048914        
  0xf0048954  FUN_ram_f0048954        
  0xf004898c  FUN_ram_f004898c        
  0xf0048ab4  FUN_ram_f0048ab4        
  0xf0048acc  FUN_ram_f0048acc        
  0xf0048af4  FUN_ram_f0048af4        
  0xf0048c48  FUN_ram_f0048c48        
  0xf0048c9c  FUN_ram_f0048c9c        
  0xf0048d20  FUN_ram_f0048d20        
  0xf0048d54  FUN_ram_f0048d54        
  0xf0048e48  FUN_ram_f0048e48        
  0xf0048f14  FUN_ram_f0048f14        
  0xf0049074  FUN_ram_f0049074        
  0xf004912c  FUN_ram_f004912c        
  0xf004931c  FUN_ram_f004931c        
  0xf00494b0  FUN_ram_f00494b0        
  0xf0049504  FUN_ram_f0049504        
  0xf00497b4  FUN_ram_f00497b4        
  0xf004999c  FUN_ram_f004999c        
  0xf0049b54  FUN_ram_f0049b54        
  0xf0049c24  FUN_ram_f0049c24        
  0xf0049ce4  FUN_ram_f0049ce4        
  0xf0049de4  FUN_ram_f0049de4        
  0xf004a410  FUN_ram_f004a410        
  0xf004a784  FUN_ram_f004a784        
  0xf004a7ac  FUN_ram_f004a7ac        
  0xf004a888  FUN_ram_f004a888        
  0xf004aea8  FUN_ram_f004aea8        
  0xf004afa4  FUN_ram_f004afa4        
  0xf004b1d0  FUN_ram_f004b1d0        
  0xf004b1d4  FUN_ram_f004b1d4        
  0xf004b684  FUN_ram_f004b684        
  0xf004b690  FUN_ram_f004b690        
  0xf004b6cc  FUN_ram_f004b6cc        
  0xf004b748  FUN_ram_f004b748        
  0xf004b7e0  FUN_ram_f004b7e0        
  0xf004b86c  FUN_ram_f004b86c        
  0xf004be1c  FUN_ram_f004be1c        
  0xf004bed0  FUN_ram_f004bed0        

========== wifi/mgmt/bss.c (8 funcs) ==========
  0xf0021cc4  FUN_ram_f0021cc4        0xe8a,0xe96
  0xf0021f24  FUN_ram_f0021f24        0x9c9,0x9cb
  0xf0021fe4  FUN_ram_f0021fe4        0x489,0x48a,0x48b,0x4ae
  0xf0022114  FUN_ram_f0022114        0x430,0x431,0x432,0x455
  0xf0022990  FUN_ram_f0022990        0x82b,0x837
  0xf0022bd0  FUN_ram_f0022bd0        0x895,0x89d,0x8a6,0x8c9
  0xf0022fe8  FUN_ram_f0022fe8        0xa17
  0xf002365c  FUN_ram_f002365c        0x360

========== wifi/mgmt/cnm.c (13 funcs) ==========
  0xf002379c  FUN_ram_f002379c        0x3e4
  0xf00239e8  FUN_ram_f00239e8        0xa1d
  0xf0023a90  FUN_ram_f0023a90        0xd7a
  0xf0023c3c  FUN_ram_f0023c3c        0xb68
  0xf0023d9c  FUN_ram_f0023d9c        0xdcf
  0xf0023e50  FUN_ram_f0023e50        0x5fa
  0xf0024024  FUN_ram_f0024024        0xdf0
  0xf0024080  FUN_ram_f0024080        0xe1e
  0xf00240f8  FUN_ram_f00240f8        0xb40
  0xf0024168  FUN_ram_f0024168        0x989
  0xf00248a4  FUN_ram_f00248a4        0x4cd,0x515,0x518,0xbd0,0xbe8,0xc23,0xc61,0xcbf
  0xf0024fc0  FUN_ram_f0024fc0        0x564,0x573
  0xf0025198  FUN_ram_f0025198        0x6eb,0x700,0x711,0x734,0x816,0x81f,0x855,0x856,0x87a,0x887,0x8f3,0x932

========== wifi/mgmt/cnm_mem.c (6 funcs) ==========
  0xf0025b48  FUN_ram_f0025b48        0x407,0x408,0x411,0x41a
  0xf0025cac  FUN_ram_f0025cac        0x457,0x471
  0xf0025ddc  FUN_ram_f0025ddc        0x57a
  0xf00260bc  FUN_ram_f00260bc        0x5cc,0x5cd
  0xf0026470  FUN_ram_f0026470        0x66c
  0xf002653c  FUN_ram_f002653c        0x507

========== wifi/mgmt/cnm_timer.c (5 funcs) ==========
  0xf00265f0  FUN_ram_f00265f0        0xe2
  0xf0026644  FUN_ram_f0026644        0x111
  0xf00266a0  FUN_ram_f00266a0        0x129
  0xf00266d8  FUN_ram_f00266d8        0x159
  0xf002672c  FUN_ram_f002672c        0x17c,0x184,0x197

========== wifi/mgmt/hem.c (1 funcs) ==========
  0xf00278a8  FUN_ram_f00278a8        0x585

========== wifi/mgmt/hem_cmd.c (1 funcs) ==========
  0xf0028190  FUN_ram_f0028190        0x2d9

========== wifi/mgmt/hem_mbox.c (3 funcs) ==========
  0xf0028250  FUN_ram_f0028250        0x1a2
  0xf0028304  FUN_ram_f0028304        0x1b7
  0xf0028344  FUN_ram_f0028344        0x1cf,0x1d0,0x1de

========== wifi/mgmt/mqm.c (13 funcs) ==========
  0xf0028650  FUN_ram_f0028650        0x4c4
  0xf0028770  FUN_ram_f0028770        0x512,0x530
  0xf0028ca8  FUN_ram_f0028ca8        0x8ea
  0xf0028ddc  FUN_ram_f0028ddc        0x6a2
  0xf00291ec  FUN_ram_f00291ec        0x75c
  0xf002929c  FUN_ram_f002929c        0xa3f,0xaaa
  0xf0029634  FUN_ram_f0029634        0x5f7,0x60c
  0xf0029828  FUN_ram_f0029828        0x108e
  0xf0029a40  FUN_ram_f0029a40        0xaf5
  0xf0029d08  FUN_ram_f0029d08        0x54f
  0xf0029e24  FUN_ram_f0029e24        0x7d1
  0xf0029fd8  FUN_ram_f0029fd8        0x594,0x595
